,fname,text
43,parse-bytes32.md,"parse-bytes32.md. ## `parseBytes32` ### Signature ```solidity function parseBytes32(string calldata stringifiedValue) external pure returns (bytes32 parsedValue); ``` ### Description Parses the value of `string` into `bytes32` ### Examples ```solidity string memory bytes32AsString = ""0x0000000000000000000000000000000000000000000000000000000000000000""; bytes32 stringToBytes32 = vm.parseBytes32(bytes32AsString); // 0x0000000000000000000000000000000000000000000000000000000000000000 ``` "
44,cast-4byte-decode.md,"cast-4byte-decode.md. ## cast 4byte-decode ### NAME cast-4byte-decode - Decode ABI-encoded calldata using <https://sig.eth.samczsun.com>. ### SYNOPSIS ``cast 4byte-decode`` [*options*] *calldata* ### DESCRIPTION Decode ABI-encoded calldata using <https://sig.eth.samczsun.com>. ### OPTIONS #### 4byte Options `--id` *id* &nbsp;&nbsp;&nbsp;&nbsp;The index of the resolved signature to use. &nbsp;&nbsp;&nbsp;&nbsp; &nbsp;&nbsp;&nbsp;&nbsp;<https://sig.eth.samczsun.com> can have multiple possible signatures for a given selector. &nbsp;&nbsp;&nbsp;&nbsp;The index can be an integer, or the tags ""earliest"" and ""latest"". {{#include common-options.md}} ### EXAMPLES 1. Decode calldata for a `transfer` call:  ```sh  cast 4byte-decode 0xa9059cbb000000000000000000000000e78388b4ce79068e89bf8aa7f218ef6b9ab0e9d00000000000000000000000000000000000000000000000000174b37380cea000  ``` ### SEE ALSO [cast](./cast.md), [cast 4byte](./cast-4byte.md), [cast 4byte-event](./cast-4byte-event.md) "
45,cast-compute-address.md,"cast-compute-address.md. ## cast compute-address ### NAME cast-compute-address - Compute the contract address from a given nonce and deployer address. ### SYNOPSIS ``cast compute-address`` [*options*] *address* ### DESCRIPTION Compute the contract address from a given nonce and deployer address. ### OPTIONS #### Compute Options `--nonce` *nonce* &nbsp;&nbsp;&nbsp;&nbsp;The nonce of the account. Defaults to the latest nonce, fetched from the RPC. #### RPC Options {{#include ../common/rpc-url-option.md}} {{#include common-options.md}} ### SEE ALSO [cast](./cast.md), [cast proof](./cast-proof.md), [cast create2](./cast-create2.md) "
46,revoke-persistent.md,"revoke-persistent.md. ## `revokePersistent` ### Signature ```solidity function revokePersistent(address) external; function revokePersistent(address[] calldata) external; ``` ### Description The counterpart of [`makePersistent`](./make-persistent.md), that makes the given contract not persistent across fork swaps ### Examples Revoke a persistent status of a contract ```solidity contract SimpleStorageContract {  string public value;  function set(uint256 _value) public {   value = _value;  } } function testRevokePersistent() public {  // select a specific fork  cheats.selectFork(mainnetFork);   // create a new contract that's stored in the `mainnetFork` storage  SimpleStorageContract simple = new SimpleStorageContract();   // `simple` is not marked as persistent  assert(!cheats.isPersistent(address(simple)));    // make it persistent  cheats.makePersistent(address(simple));   // ensure it is persistent  assert(cheats.isPersistent(address(simple)));   // revoke it  cheats.revokePersistent(address(simple));   // contract no longer persistent  assert(!cheats.isPersistent(address(simple))); } ``` ### SEE ALSO - [isPersistent](./is-persistent.md) - [revokePersistent](./revoke-persistent.md) - [createFork](./create-fork.md) - [selectFork](./select-fork.md) "
47,divisionError.md,"divisionError.md. ## `divisionError` ### Signature ```solidity stdError.divisionError ``` ### Description The internal Solidity error when a division fails, e.g. division by zero."
48,forge-bind.md,"forge-bind.md. ## forge bind ### NAME forge-bind - Generate Rust bindings for smart contracts. ### SYNOPSIS ``forge bind`` [*options*] ### DESCRIPTION Generates Rust bindings for smart contracts using [ethers-rs](https://github.com/gakonst/ethers-rs). The bindings are generated from the project's artifacts, which by default is `./out/`. If you want to generate bindings for artifacts in a different directory, pass `--bindings-path <PATH>`. There are three output options: - Generate bindings in a crate (default) - Generate bindings in a module by passing `--module` - Generate bindings in a single file by passing `--single-file` By default, the command will check that existing bindings are correct and exit accordingly. You can overwrite the existing bindings by passing `--overwrite`. ### OPTIONS #### Project Options `-b` *path* `--bindings-path` *path* &nbsp;&nbsp;&nbsp;&nbsp;The project's root path. By default, this is the root directory of the current git repository, or the current working directory. `--crate-name` *name* &nbsp;&nbsp;&nbsp;&nbsp;The name of the Rust crate to generate, if you are generating a crate (default). &nbsp;&nbsp;&nbsp;&nbsp;This should be a valid crates.io crate name. &nbsp;&nbsp;&nbsp;&nbsp;Default: foundry-contracts `--crate-version` *semver* &nbsp;&nbsp;&nbsp;&nbsp;The version of the Rust crate to generate, if you are generating a crate (default). &nbsp;&nbsp;&nbsp;&nbsp;This should be a standard semver version string. &nbsp;&nbsp;&nbsp;&nbsp;Default: 0.0.1 `--module` &nbsp;&nbsp;&nbsp;&nbsp;Generate the bindings as a module instead of a crate. `--single-file` &nbsp;&nbsp;&nbsp;&nbsp;Generate bindings as a single file. `--overwrite` &nbsp;&nbsp;&nbsp;&nbsp;Overwrite existing generated bindings. By default, the command will check that the bindings are correct, and then exit. &nbsp;&nbsp;&nbsp;&nbsp;If `--overwrite` is passed, it will instead delete and overwrite the bindings. `--root` *path* &nbsp;&nbsp;&nbsp;&nbsp;The project's root path. By default, this is the root directory of the current git repository, or the current working directory. `--skip-cargo-toml` &nbsp;&nbsp;&nbsp;&nbsp;Skip Cargo.toml consistency checks. &nbsp;&nbsp;&nbsp;&nbsp;This allows you to manage the [ethers](https://github.com/gakonst/ethers-rs) version without giving up on consistency checks. &nbsp;&nbsp;&nbsp;&nbsp;An example would be if you use additional features of ethers like `ws`, `ipc`, or `rustls` and get an `ethers-providers` version mismatch. `--skip-build` &nbsp;&nbsp;&nbsp;&nbsp;Skips running forge build before generating binding. &nbsp;&nbsp;&nbsp;&nbsp;This allows you to skip the default `forge build` step that's executed first and instead generate bindings using the already existing artifacts. `--select-all` &nbsp;&nbsp;&nbsp;&nbsp;By default all contracts ending with `Test` or `Script` are excluded. This will explicitly generate bindings for all contracts. Conflicts with `--select` and `--skip`. `--select` *regex+* &nbsp;&nbsp;&nbsp;&nbsp;Create bindings only for contracts whose names match the specified filter(s). Conflicts with `--skip`. `--skip` *regex+* &nbsp;&nbsp;&nbsp;&nbsp;Create bindings only for contracts whose names do not match the specified filter(s). Conflicts with `--select`. {{#include common-options.md}} {{#include core-build-options.md}} ### SEE ALSO [forge](./forge.md) "
49,forge-clean.md,forge-clean.md. ## forge clean ### NAME forge-clean - Remove the build artifacts and cache directories. ### SYNOPSIS ``forge clean`` [*options*] ### DESCRIPTION Remove the build artifacts and cache directories. ### OPTIONS #### Clean Options `--root` *path* &nbsp;&nbsp;&nbsp;&nbsp;The project's root path. Defaults to the current working directory. {{#include common-options.md}} ### EXAMPLES 1. Clean artifacts and cache in a project:  ```sh  forge clean  ``` ### SEE ALSO [forge](./forge.md) 
50,forge-script.md,"forge-script.md. ## forge script ### NAME forge-script - Run a smart contract as a script, building transactions that can be sent onchain. ### SYNOPSIS ``forge script`` [*options*] *path* [*args...*] ### DESCRIPTION Run a smart contract as a script, building transactions that can be sent onchain. Scripts can be used to apply state transitions on live contracts, or deploy and initialize a complex set of smart contracts using Solidity. ### OPTIONS `--broadcast` &nbsp;&nbsp;&nbsp;&nbsp;Broadcasts the transactions. `--debug` &nbsp;&nbsp;&nbsp;&nbsp;Open the script in the [debugger][debugger]. Takes precedence over broadcast. `-g` `--gas-estimate-multiplier` *multiplier* &nbsp;&nbsp;&nbsp;&nbsp;Relative percentage by which to multiply all gas estimates. (i.e. set to 200 to double them) &nbsp;&nbsp;&nbsp;&nbsp;Default: 130 `--json` &nbsp;&nbsp;&nbsp;&nbsp;Output results in JSON format. &nbsp;&nbsp;&nbsp;&nbsp;Note: The output is under development and prone to change. `--legacy` &nbsp;&nbsp;&nbsp;&nbsp;Use legacy transactions instead of EIP1559 ones. This is auto-enabled for common networks without EIP1559. `--resume` &nbsp;&nbsp;&nbsp;&nbsp;Resumes submitting transactions that failed or timed-out previously. `-s` `--sig` *signature* &nbsp;&nbsp;&nbsp;&nbsp;The signature of the function you want to call in the contract, or raw calldata. &nbsp;&nbsp;&nbsp;&nbsp;Default: `run()` `--skip-simulation` &nbsp;&nbsp;&nbsp;&nbsp;Skips on-chain simulation. `--slow` &nbsp;&nbsp;&nbsp;&nbsp;Makes sure a transaction is sent, only after its previous one has been confirmed and succeeded. `--target-contract` *contract_name* &nbsp;&nbsp;&nbsp;&nbsp;The name of the contract you want to run. `--with-gas-price` *price* &nbsp;&nbsp;&nbsp;&nbsp;Sets the gas price for **broadcasted** legacy transactions, or the max fee for broadcasted EIP1559 transactions. &nbsp;&nbsp;&nbsp;&nbsp;Note: To set the gas price in the execution environment of the script use `--gas-price` instead (see below). {{#include ../common/etherscan-options.md}} #### Verification Options `--verify` &nbsp;&nbsp;&nbsp;&nbsp;If it finds a matching broadcast log, it tries to verify every contract found in the receipts. {{#include ../common/verifier-options.md}} {{#include ../common/retry-options.md}} {{#include core-build-options.md}} #### Build Options `--names` &nbsp;&nbsp;&nbsp;&nbsp;Print compiled contract names. `--sizes` &nbsp;&nbsp;&nbsp;&nbsp;Print compiled non-test contract sizes, exiting with code 1 if any of them are above the size limit. {{#include watch-options.md}} {{#include ../common/multi-wallet-options.md}} {{#include evm-options.md}} {{#include executor-options.md}} {{#include common-options.md}} ### EXAMPLES 1. Run `BroadcastTest` as a script, broadcasting generated transactions on-chain  ```sh  forge script ./test/Broadcast.t.sol --tc BroadcastTest --sig ""deploy()"" \   -vvv --fork-url $GOERLI_RPC_URL  ``` 2. Deploy a contract on Polygon [(see scripting tutorial for an example script)](../../tutorials/solidity-scripting.md). *The verifier url is different for every network.*  ```sh  forge script script/NFT.s.sol:MyScript --chain-id 137 --rpc-url $RPC_URL \   --etherscan-api-key $POLYGONSCAN_API_KEY --verifier-url https://api.polygonscan.com/api \   --broadcast --verify -vvvv  ``` 3. Resume a failed script. Using the above as an example, remove `--broadcast` add `--resume`  ```sh  forge script script/NFT.s.sol:MyScript --chain-id 137 --rpc-url $RPC_URL \   --etherscan-api-key $POLYGONSCAN_API_KEY --verifier-url https://api.polygonscan.com/api \   --verify -vvvv --resume  ``` [debugger]: ../../forge/debugger.md "
51,general-commands.md,general-commands.md. ## General Commands - [cast](./cast.md) - [cast help](./cast-help.md) - [cast completions](./cast-completions.md) 
52,fs.md,"fs.md. ## File cheat codes ### Signature ```solidity // Reads the entire content of file to string, (path) => (data) function readFile(string calldata) external returns (string memory); // Reads next line of file to string, (path) => (line) function readLine(string calldata) external returns (string memory); // Writes data to file, creating a file if it does not exist, and entirely replacing its contents if it does. // (path, data) => () function writeFile(string calldata, string calldata) external; // Writes line to file, creating a file if it does not exist. // (path, data) => () function writeLine(string calldata, string calldata) external; // Closes file for reading, resetting the offset and allowing to read it from beginning with readLine. // (path) => () function closeFile(string calldata) external; // Removes file. This cheatcode will revert in the following situations, but is not limited to just these cases: // - Path points to a directory. // - The file doesn't exist. // - The user lacks permissions to remove the file. // (path) => () function removeFile(string calldata) external; ``` ### Description These cheatcodes provided by [forge-std](https://github.com/foundry-rs/forge-std) can be used for filesystem manipulation operations. By default, filesystem access is disallowed and requires the `fs_permission` setting in `foundry.toml`: ```toml # Configures permissions for cheatcodes that touch the filesystem like `vm.writeFile` # `access` restricts how the `path` can be accessed via cheatcodes # `read-write` | `true` => `read` + `write` access allowed (`vm.readFile` + `vm.writeFile`) # `none`| `false` => no access # `read` => only read access (`vm.readFile`) # `write` => only write access (`vm.writeFile`) # The `allowed_paths` further lists the paths that are considered, e.g. `./` represents the project root directory # By default _no_ fs access permission is granted, and _no_ paths are allowed # following example enables read access for the project dir _only_: #  `fs_permissions = [{ access = ""read"", path = ""./""}]` fs_permissions = [] # default: all file cheat codes are disabled ``` ### Examples Append a line to a file, this will create the file if it does not exist yet This requires read access to the file / project root ```toml fs_permissions = [{ access = ""read"", path = ""./""}] ``` ```solidity string memory path = ""output.txt""; string memory line1 = ""first line""; vm.writeLine(path, line1); string memory line2 = ""second line""; vm.writeLine(path, line2); ``` Write to and read from a file This requires read-write access to file / project root: ```toml fs_permissions = [{ access = ""read-write"", path = ""./""}] ``` ```solidity string memory path = ""file.txt""; string memory data = ""hello world""; vm.writeFile(path, data); assertEq(vm.readFile(path), data); ``` Remove a file This requires write access to file / project root: ```toml fs_permissions = [{ access = ""write"", path = ""./""}] ``` ```solidity string memory path = ""file.txt""; string memory data = ""hello world""; vm.writeFile(path, data); assertEq(vm.readFile(path), data); ```"
53,compiler-options.md,"compiler-options.md. #### Compiler Options `--optimize` &nbsp;&nbsp;&nbsp;&nbsp;Activate the Solidity optimizer. `--optimizer-runs` *runs* &nbsp;&nbsp;&nbsp;&nbsp;The number of optimizer runs. `--via-ir` &nbsp;&nbsp;&nbsp;&nbsp;Use the Yul intermediate representation compilation pipeline. `--revert-strings` &nbsp;&nbsp;&nbsp;&nbsp;How to treat revert and require reason strings. `--use` *solc_version* &nbsp;&nbsp;&nbsp;&nbsp;Specify the solc version, or a path to a local solc, to build with. &nbsp;&nbsp;&nbsp;&nbsp;Valid values are in the format `x.y.z`, `solc:x.y.z` or `path/to/solc`. `--offline` &nbsp;&nbsp;&nbsp;&nbsp;Do not access the network. Missing solc versions will not be installed. `--no-auto-detect` &nbsp;&nbsp;&nbsp;&nbsp;Do not auto-detect solc. `--ignored-error-codes` *error_codes* &nbsp;&nbsp;&nbsp;&nbsp;Ignore solc warnings by error code. The parameter is a comma-separated list of error codes. `--extra-output` *selector* &nbsp;&nbsp;&nbsp;&nbsp;Extra output to include in the contract's artifact. &nbsp;&nbsp;&nbsp;&nbsp;Example keys: `abi`, `storageLayout`, `evm.assembly`, `ewasm`, `ir`, `ir-optimized`, `metadata`. &nbsp;&nbsp;&nbsp;&nbsp;For a full description, see the [Solidity docs][output-desc]. `--extra-output-files` *selector* &nbsp;&nbsp;&nbsp;&nbsp;Extra output to write to separate files. &nbsp;&nbsp;&nbsp;&nbsp;Example keys: `abi`, `storageLayout`, `evm.assembly`, `ewasm`, `ir`, `ir-optimized`, `metadata`. &nbsp;&nbsp;&nbsp;&nbsp;For a full description, see the [Solidity docs][output-desc]. `--evm-version` *version* &nbsp;&nbsp;&nbsp;&nbsp;The target EVM version. [output-desc]: https://docs.soliditylang.org/en/latest/using-the-compiler.html#compiler-api "
54,multi-wallet-options.md,multi-wallet-options.md. {{#include multi-wallet-options-raw.md}} {{#include multi-wallet-options-keystore.md}} {{#include multi-wallet-options-hardware.md}} {{#include multi-wallet-options-remote.md}}
55,fork-testing.md,"fork-testing.md. ## Fork Testing Forge supports testing in a forked environment with two different approaches: - [**Forking Mode**](#forking-mode) — use a single fork for all your tests via the `forge test --fork-url` flag - [**Forking Cheatcodes**](#forking-cheatcodes) — create, select, and manage multiple forks directly in Solidity test code via [forking cheatcodes](../cheatcodes/forking.md) Which approach to use? Forking mode affords running an entire test suite against a specific forked environment, while forking cheatcodes provide more flexibility and expressiveness to work with multiple forks in your tests. Your particular use case and testing strategy will help inform which approach to use. ### Forking Mode To run all tests in a forked environment, such as a forked Ethereum mainnet, pass an RPC URL via the `--fork-url` flag: ```bash forge test --fork-url <your_rpc_url> ``` The following values are changed to reflect those of the chain at the moment of forking: - [`block_number`](../reference/config/testing.md#block_number) - [`chain_id`](../reference/config/testing.md#chain_id) - [`gas_limit`](../reference/config/testing.md#gas_limit) - [`gas_price`](../reference/config/testing.md#gas_price) - [`block_base_fee_per_gas`](../reference/config/testing.md#block_base_fee_per_gas) - [`block_coinbase`](../reference/config/testing.md#block_coinbase) - [`block_timestamp`](../reference/config/testing.md#block_timestamp) - [`block_difficulty`](../reference/config/testing.md#block_difficulty) It is possible to specify a block from which to fork with `--fork-block-number`: ```bash forge test --fork-url <your_rpc_url> --fork-block-number 1 ``` Forking is especially useful when you need to interact with existing contracts. You may choose to do integration testing this way, as if you were on an actual network. #### Caching If both `--fork-url` and `--fork-block-number` are specified, then data for that block is cached for future test runs. The data is cached in `~/.foundry/cache/rpc/<chain name>/<block number>`. To clear the cache, simply remove the directory or run [`forge clean`](../reference/forge/forge-clean.md) (removes all build artifacts and cache directories). It is also possible to ignore the cache entirely by passing `--no-storage-caching`, or with `foundry.toml` by configuring [`no_storage_caching`](../reference/config/testing.md#no_storage_caching) and [`rpc_storage_caching`](../reference/config/testing.md#rpc_storage_caching). #### Improved traces Forge supports identifying contracts in a forked environment with Etherscan. To use this feature, pass the Etherscan API key via the `--etherscan-api-key` flag: ```bash forge test --fork-url <your_rpc_url> --etherscan-api-key <your_etherscan_api_key> ``` Alternatively, you can set the `ETHERSCAN_API_KEY` environment variable. ### Forking Cheatcodes Forking cheatcodes allow you to enter forking mode programatically in your Solidity test code. Instead of configuring forking mode via `forge` CLI arguments, these cheatcodes allow you to use forking mode on a test-by-test basis and work with multiple forks in your tests. Each fork is identified via its own unique `uint256` identifier. #### Usage Important to keep in mind that _all_ test functions are isolated, meaning each test function is executed with a _copy_ of the state _after_ `setUp` and is executed in its own stand-alone EVM. Therefore forks created during `setUp` are available in tests. The code example below uses [`createFork`](../cheatcodes/create-fork.md) to create two forks, but does _not_ select one initially. Each fork is identified with a unique identifier (`uint256 forkId`), which is assigned when it is first created. Enabling a specific fork is done via passing that `forkId` to [`selectFork`](../cheatcodes/select-fork.md). [`createSelectFork`](../cheatcodes/create-select-fork.md) is a one-liner for `createFork` plus `selectFork`. There can only be one fork active at a time, and the identifier for the currently active fork can be retrieved via [`activeFork`](../cheatcodes/active-fork.md). Similar to [`roll`](../cheatcodes/roll.md), you can set `block.number` of a fork with [`rollFork`](../cheatcodes/roll-fork.md). To understand what happens when a fork is selected, it is important to know how the forking mode works in general: Each fork is a standalone EVM, i.e. all forks use completely independent storage. The only exception is the state of the `msg.sender` and the test contract itself, which are persistent across fork swaps. In other words all changes that are made while fork `A` is active (`selectFork(A)`) are only recorded in fork `A`'s storage and are not available if another fork is selected. However, changes recorded in the test contract itself (variables) are still available because the test contract is a _persistent_ account. The `selectFork` cheatcode sets the _remote_ section with the fork's data source, however the _local_ memory remains persistent across fork swaps. This also means `selectFork` can be called at all times with any fork, to set the _remote_ data source. However, it is important to keep in mind the above rules for `read/write` access always apply, meaning _writes_ are persistent across fork swaps. #### Examples ##### Create and Select Forks ```solidity contract ForkTest is Test {  // the identifiers of the forks  uint256 mainnetFork;  uint256 optimismFork;   //Access variables from .env file via vm.envString(""varname"")  //Replace ALCHEMY_KEY by your alchemy key or Etherscan key, change RPC url if need  //inside your .env file e.g:  //MAINNET_RPC_URL = 'https://eth-mainnet.g.alchemy.com/v2/ALCHEMY_KEY'  //string MAINNET_RPC_URL = vm.envString(""MAINNET_RPC_URL"");  //string OPTIMISM_RPC_URL = vm.envString(""OPTIMISM_RPC_URL"");  // create two _different_ forks during setup  function setUp() public {   mainnetFork = vm.createFork(MAINNET_RPC_URL);   optimismFork = vm.createFork(OPTIMISM_RPC_URL);  }  // demonstrate fork ids are unique  function testForkIdDiffer() public {   assert(mainnetFork != optimismFork);  }  // select a specific fork  function testCanSelectFork() public {   // select the fork   vm.selectFork(mainnetFork);   assertEq(vm.activeFork(), mainnetFork);   // from here on data is fetched from the `mainnetFork` if the EVM requests it and written to the storage of `mainnetFork`  }  // manage multiple forks in the same test  function testCanSwitchForks() public {   vm.selectFork(mainnetFork);   assertEq(vm.activeFork(), mainnetFork);   vm.selectFork(optimismFork);   assertEq(vm.activeFork(), optimismFork);  }  // forks can be created at all times  function testCanCreateAndSelectForkInOneStep() public {   // creates a new fork and also selects it   uint256 anotherFork = vm.createSelectFork(MAINNET_RPC_URL);   assertEq(vm.activeFork(), anotherFork);  }  // set `block.number` of a fork  function testCanSetForkBlockNumber() public {   vm.selectFork(mainnetFork);   vm.rollFork(1_337_000);   assertEq(block.number, 1_337_000);  } } ``` ##### Separated and persistent storage As mentioned each fork is essentially an independent EVM with separated storage. Only the accounts of `msg.sender` and the test contract (`ForkTest`) are persistent when forks are selected. But any account can be turned into a persistent account: [`makePersistent`](../cheatcodes/make-persistent.md). An account that is _persistent_ is unique, i.e. it exists on all forks ```solidity contract ForkTest is Test {  // the identifiers of the forks  uint256 mainnetFork;  uint256 optimismFork;   //Access variables from .env file via vm.envString(""varname"")  //Replace ALCHEMY_KEY by your alchemy key or Etherscan key, change RPC url if need  //inside your .env file e.g:  //MAINNET_RPC_URL = 'https://eth-mainnet.g.alchemy.com/v2/ALCHEMY_KEY'  //string MAINNET_RPC_URL = vm.envString(""MAINNET_RPC_URL"");  //string OPTIMISM_RPC_URL = vm.envString(""OPTIMISM_RPC_URL"");  // create two _different_ forks during setup  function setUp() public {   mainnetFork = vm.createFork(MAINNET_RPC_URL);   optimismFork = vm.createFork(OPTIMISM_RPC_URL);  }  // creates a new contract while a fork is active  function testCreateContract() public {   vm.selectFork(mainnetFork);   assertEq(vm.activeFork(), mainnetFork);     // the new contract is written to `mainnetFork`'s storage   SimpleStorageContract simple = new SimpleStorageContract();     // and can be used as normal   simple.set(100);   assertEq(simple.value(), 100);     // after switching to another contract we still know `address(simple)` but the contract only lives in `mainnetFork`   vm.selectFork(optimismFork);     /* this call will therefore revert because `simple` now points to a contract that does not exist on the active fork   * it will produce following revert message:   *   * ""Contract 0xCe71065D4017F316EC606Fe4422e11eB2c47c246 does not exist on active fork with id `1`   *  But exists on non active forks: `[0]`""   */   simple.value();  }   // creates a new _persistent_ contract while a fork is active  function testCreatePersistentContract() public {   vm.selectFork(mainnetFork);   SimpleStorageContract simple = new SimpleStorageContract();   simple.set(100);   assertEq(simple.value(), 100);     // mark the contract as persistent so it is also available when other forks are active   vm.makePersistent(address(simple));   assert(vm.isPersistent(address(simple)));     vm.selectFork(optimismFork);   assert(vm.isPersistent(address(simple)));     // This will succeed because the contract is now also available on the `optimismFork`   assertEq(simple.value(), 100);  } } contract SimpleStorageContract {  uint256 public value;  function set(uint256 _value) public {   value = _value;  } } ``` For more details and examples, see the [forking cheatcodes](../cheatcodes/forking.md) reference. "
56,transact.md,"transact.md. ## `transact` ### Signature ```solidity // Fetches the given transaction from the active fork and executes it on the current state function transact(bytes32 txHash) external; // Fetches the given transaction from the given fork and executes it on the current state function transact(uint256 forkId, bytes32 txHash) external; ``` ### Description In forking mode, fetches the Transaction from the provider and executes it on the current state ### Examples Enter forking mode and execute a transaction: ```solidity // Enter forking mode at block: https://etherscan.io/block/15596646 uint256 fork = vm.createFork(MAINNET_RPC_URL, 15596646); vm.selectFork(fork); // a random transfer transaction in the block: https://etherscan.io/tx/0xaba74f25a17cf0d95d1c6d0085d6c83fb8c5e773ffd2573b99a953256f989c89 bytes32 tx = 0xaba74f25a17cf0d95d1c6d0085d6c83fb8c5e773ffd2573b99a953256f989c89; address sender = address(0xa98218cdc4f63aCe91ddDdd24F7A580FD383865b); address recipient = address(0x0C124046Fa7202f98E4e251B50488e34416Fc306); assertEq(sender.balance, 5764124000000000); assertEq(recipient.balance, 3936000000000000); // transfer amount: 0.003936 Ether uint256 transferAmount = 3936000000000000; // expected balance changes once the transaction is executed uint256 expectedRecipientBalance = recipient.balance + transferAmount; uint256 expectedSenderBalance = sender.balance - transferAmount; // execute the transaction vm.transact(tx); // recipient received transfer assertEq(recipient.balance, expectedRecipientBalance); // sender's balance decreased by transferAmount and gas assert(sender.balance < expectedSenderBalance); ``` ### SEE ALSO - [roll](./roll.md) - [createFork](./create-fork.md) - [selectFork](./select-fork.md) - [activeFork](./active-fork.md) "
57,cast--from-rlp.md,cast--from-rlp.md. ## cast --from-rlp ### NAME cast---from-rlp - Decodes RLP-encoded data. ### SYNOPSIS ``cast --from-rlp`` *data* ### DESCRIPTION Decodes RLP-encoded data. The *data* is a hexadecimal string with optional 0x prefix. ### OPTIONS {{#include common-options.md}} ### EXAMPLES 1. Decode RLP data:  ```sh  cast --from-rlp 0xc481f181f2  cast --from-rlp c481f181f2  ``` 
58,forge-cache-ls.md,"forge-cache-ls.md. ## `forge cache ls` ### NAME forge-cache-ls - Shows cached data from ``~/.foundry``. ### SYNOPSIS `forge cache ls` [*chains..*] ### DESCRIPTION Lists what is in the `~/.foundry/cache` folder currently. ### OPTIONS {{#include common-options.md}} ### EXAMPLES 1. Show the entire cache (also, ``forge cache ls`` is an alias for this)  ```sh  forge cache ls all  ``` 2. Show cache data for a specific chain, by name  ```sh  forge cache ls rinkeby  ```  3. Specify multiple chains  ```sh  forge cache ls rinkeby mainnet  ``` ### SEE ALSO [forge](./forge.md), [forge cache](./forge-cache.md)"
59,sig-description.md,"sig-description.md. The signature (*sig*) can be: - A fragment: `someFunction(uint256,bytes32)` - A selector and encoded calldata: `0xcdba2fd40000000000000000000000000000000000000000000000000000000000007a69` - Only the function name: in this case Cast will try to fetch the function signature from Etherscan "
60,enumConversionError.md,"enumConversionError.md. ## `enumConversionError` ### Signature ```solidity stdError.enumConversionError ``` ### Description The internal Solidity error when trying to convert a number to a variant of an enum, if the number is larger than the number of variants in the enum (counting from 0)."
